,ds,reg_traf,reg_1,reg_2,reg_3,reg_4,reg_5,reg_6,reg_7,reg_8,reg_9,reg_10,reg_11,reg_temp,y
163,2018-06-14,6350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34158.11
164,2018-06-15,7245.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39628.95
165,2018-06-16,9607.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50737.51
166,2018-06-17,2774.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11370.08
167,2018-06-18,7162.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40318.49
168,2018-06-19,6542.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37998.4
169,2018-06-20,6681.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35887.26
170,2018-06-21,6577.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32412.16
171,2018-06-22,9608.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,63091.31
172,2018-06-23,11771.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,73347.7
173,2018-06-24,3543.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,17211.57
174,2018-06-25,9724.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,53944.0
175,2018-06-26,8963.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,48921.49
176,2018-06-27,8768.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,49719.73
177,2018-06-28,9059.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,48453.3
178,2018-06-29,11452.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,63432.55
179,2018-06-30,14405.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,75083.48
180,2018-07-01,7809.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,35899.75
181,2018-07-02,12147.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,64842.38
182,2018-07-03,10815.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,53664.31
183,2018-07-04,10607.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,52905.44
184,2018-07-05,10395.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,56253.68
185,2018-07-06,10636.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,58030.33
186,2018-07-07,13093.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,68429.0
187,2018-07-08,4328.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,16698.76
188,2018-07-09,10172.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,50336.5
189,2018-07-10,9289.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,40932.4
190,2018-07-11,9532.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,45233.21
191,2018-07-12,9637.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,47674.92
192,2018-07-13,10360.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,49451.63
193,2018-07-14,12000.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,50011.18
194,2018-07-15,3801.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,14837.62
195,2018-07-16,10522.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,45471.37
196,2018-07-17,9213.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,39736.72
197,2018-07-18,9180.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,37420.76
198,2018-07-19,9008.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,41681.17
199,2018-07-20,9489.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,2.0,48678.99
200,2018-07-21,12100.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,2.0,51982.98
201,2018-07-22,3916.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,2.0,12629.75
202,2018-07-23,9785.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,2.0,41294.23
